epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.5462,1.99168,7.5462,2.59947,0.28548,0.5892,0.23271,0.12324,1.3563,7.1498,1.67199,0.000161905,0.000161905,0.000161905
2,48.0388,1.0142,3.56404,1.34936,0.2479,0.53852,0.23532,0.15561,1.10752,19.8189,1.66918,0.000325319,0.000325319,0.000325319
3,71.6332,0.92263,2.65159,1.25506,0.20288,0.65887,0.30825,0.19349,1.34454,15.816,1.90449,0.000485432,0.000485432,0.000485432
4,95.0761,0.90471,2.16432,1.21626,0.47071,0.46328,0.3414,0.23452,1.14398,57.0938,1.68009,0.00048515,0.00048515,0.00048515
5,118.421,0.84122,1.78308,1.19355,0.36623,0.52753,0.49327,0.37582,0.94579,2.72914,1.29015,0.0004802,0.0004802,0.0004802
6,141.835,0.81853,1.44624,1.16765,0.59358,0.46786,0.5913,0.39363,1.2746,3.95945,1.59405,0.00047525,0.00047525,0.00047525
7,165.305,0.76742,1.35316,1.1191,0.47347,0.72844,0.6737,0.47763,1.07611,2.48995,1.33685,0.0004703,0.0004703,0.0004703
8,188.706,0.73149,1.24633,1.10393,0.59757,0.70607,0.71189,0.49825,1.09926,1.5966,1.32117,0.00046535,0.00046535,0.00046535
9,211.908,0.69582,1.0535,1.06855,0.67919,0.77996,0.82574,0.57207,1.15752,1.39887,1.42921,0.0004604,0.0004604,0.0004604
10,235.211,0.70925,0.94643,1.06527,0.58411,0.76251,0.766,0.51595,1.20793,1.42107,1.43726,0.00045545,0.00045545,0.00045545
11,258.374,0.68795,0.95042,1.0671,0.68408,0.7257,0.81919,0.6303,0.8906,1.16224,1.17523,0.0004505,0.0004505,0.0004505
12,281.804,0.65713,0.88733,1.03816,0.79257,0.82228,0.90763,0.73759,0.78124,0.95405,1.10137,0.00044555,0.00044555,0.00044555
13,305.239,0.68325,0.77971,1.06127,0.84604,0.73438,0.85301,0.72559,0.63301,0.89842,0.99972,0.0004406,0.0004406,0.0004406
14,328.359,0.61139,0.66439,1.00994,0.76234,0.78608,0.88803,0.7747,0.5939,0.9537,0.99017,0.00043565,0.00043565,0.00043565
15,351.754,0.57509,0.66579,0.98743,0.83113,0.78118,0.87041,0.75722,0.58278,0.86673,0.9863,0.0004307,0.0004307,0.0004307
16,374.817,0.57955,0.64231,0.98769,0.83732,0.83232,0.89895,0.79344,0.54587,0.83484,0.96266,0.00042575,0.00042575,0.00042575
17,398.054,0.57122,0.61702,0.97881,0.80898,0.87508,0.90548,0.74339,0.72775,0.80938,1.07643,0.0004208,0.0004208,0.0004208
18,421.44,0.5757,0.60519,0.9838,0.78386,0.80054,0.86947,0.71869,0.70399,0.86463,1.05039,0.00041585,0.00041585,0.00041585
19,444.63,0.57082,0.5809,0.98872,0.83284,0.88269,0.92641,0.72484,0.86957,0.75994,1.13989,0.0004109,0.0004109,0.0004109
20,467.845,0.53663,0.52059,0.95701,0.81787,0.83851,0.91909,0.7172,0.9038,0.78574,1.19379,0.00040595,0.00040595,0.00040595
21,490.888,0.53996,0.51437,0.96933,0.8528,0.84096,0.89906,0.72968,0.76009,0.8275,1.06331,0.000401,0.000401,0.000401
22,514.123,0.52259,0.49622,0.94724,0.79816,0.87561,0.91892,0.80288,0.55533,0.73282,0.94694,0.00039605,0.00039605,0.00039605
23,537.631,0.53071,0.51813,0.95199,0.84935,0.83234,0.90858,0.79984,0.55514,0.73389,0.9393,0.0003911,0.0003911,0.0003911
24,560.732,0.53581,0.45169,0.9597,0.7967,0.9242,0.93405,0.78899,0.68178,0.73019,1.02041,0.00038615,0.00038615,0.00038615
25,583.936,0.50599,0.43343,0.93608,0.83756,0.83412,0.91618,0.82239,0.49428,0.68782,0.91976,0.0003812,0.0003812,0.0003812
26,607.26,0.51554,0.43119,0.96216,0.9313,0.80877,0.92341,0.80159,0.60907,0.61277,0.98086,0.00037625,0.00037625,0.00037625
27,630.438,0.48513,0.40846,0.92034,0.88366,0.88241,0.93039,0.78804,0.63934,0.62329,0.9937,0.0003713,0.0003713,0.0003713
28,653.694,0.5069,0.39179,0.92352,0.85971,0.8398,0.90881,0.8186,0.49413,0.63368,0.91722,0.00036635,0.00036635,0.00036635
29,677.36,0.46892,0.40134,0.91897,0.84843,0.87897,0.93723,0.85096,0.49118,0.5872,0.91313,0.0003614,0.0003614,0.0003614
30,700.648,0.46161,0.37039,0.91276,0.90017,0.86829,0.94394,0.83278,0.54888,0.54142,0.95678,0.00035645,0.00035645,0.00035645
31,723.698,0.46219,0.37001,0.91372,0.8692,0.83779,0.92557,0.80296,0.61843,0.60104,0.97335,0.0003515,0.0003515,0.0003515
32,746.804,0.42827,0.33851,0.89809,0.90791,0.85065,0.93567,0.84491,0.47835,0.59947,0.89663,0.00034655,0.00034655,0.00034655
33,770.208,0.46178,0.3326,0.90954,0.87089,0.82518,0.92962,0.85556,0.41196,0.65711,0.86832,0.0003416,0.0003416,0.0003416
34,793.602,0.47207,0.32853,0.91382,0.9364,0.82754,0.9329,0.79132,0.63265,0.59649,0.99568,0.00033665,0.00033665,0.00033665
35,816.923,0.45236,0.32461,0.91077,0.8888,0.89221,0.94999,0.86121,0.44734,0.4856,0.88407,0.0003317,0.0003317,0.0003317
36,840.178,0.4144,0.2911,0.88459,0.88662,0.84991,0.93532,0.86469,0.41428,0.5424,0.87313,0.00032675,0.00032675,0.00032675
37,863.449,0.39935,0.29172,0.87769,0.8985,0.87504,0.96042,0.87382,0.45198,0.48925,0.90037,0.0003218,0.0003218,0.0003218
38,886.621,0.4187,0.30187,0.8894,0.90537,0.8728,0.94357,0.8655,0.43221,0.53502,0.8839,0.00031685,0.00031685,0.00031685
39,909.942,0.42749,0.30291,0.89935,0.91843,0.86955,0.94496,0.8426,0.50251,0.50055,0.91619,0.0003119,0.0003119,0.0003119
40,933.27,0.43696,0.28535,0.89044,0.94692,0.85709,0.95,0.87152,0.44589,0.4833,0.8835,0.00030695,0.00030695,0.00030695
41,956.72,0.42018,0.27854,0.89024,0.91053,0.892,0.94591,0.85016,0.47541,0.45951,0.91672,0.000302,0.000302,0.000302
42,979.919,0.38296,0.26266,0.87133,0.90273,0.88011,0.94906,0.86162,0.45153,0.49671,0.90394,0.00029705,0.00029705,0.00029705
43,1003.23,0.40377,0.27444,0.87537,0.8944,0.89611,0.93682,0.81174,0.58023,0.49845,0.96747,0.0002921,0.0002921,0.0002921
44,1026.5,0.37593,0.25686,0.85106,0.93414,0.84194,0.94968,0.87521,0.44121,0.48061,0.88527,0.00028715,0.00028715,0.00028715
45,1049.84,0.37872,0.25564,0.86433,0.87739,0.91715,0.95239,0.88119,0.40901,0.45575,0.86586,0.0002822,0.0002822,0.0002822
46,1073.42,0.36575,0.24652,0.86624,0.91346,0.88012,0.93422,0.82282,0.54352,0.53843,0.94017,0.00027725,0.00027725,0.00027725
47,1096.57,0.36649,0.24586,0.86217,0.93835,0.86023,0.91962,0.85663,0.39456,0.53604,0.86973,0.0002723,0.0002723,0.0002723
48,1119.85,0.36477,0.24364,0.85697,0.93692,0.88147,0.94551,0.83147,0.56393,0.49612,0.95722,0.00026735,0.00026735,0.00026735
49,1142.94,0.37607,0.24415,0.87158,0.92419,0.8879,0.94389,0.87545,0.40175,0.44261,0.87291,0.0002624,0.0002624,0.0002624
50,1166.18,0.35613,0.2388,0.85406,0.96061,0.84534,0.95387,0.88396,0.42523,0.43444,0.89298,0.00025745,0.00025745,0.00025745
51,1189.48,0.35085,0.22495,0.86626,0.90408,0.90445,0.95389,0.87118,0.43676,0.41636,0.88622,0.0002525,0.0002525,0.0002525
52,1213.03,0.3458,0.22702,0.84928,0.89774,0.86866,0.93546,0.8781,0.38472,0.48426,0.8595,0.00024755,0.00024755,0.00024755
53,1236.47,0.32665,0.22109,0.85369,0.90906,0.88931,0.94884,0.88438,0.41473,0.47793,0.87202,0.0002426,0.0002426,0.0002426
54,1260.02,0.32201,0.22041,0.84663,0.91416,0.8512,0.93203,0.86366,0.41326,0.51844,0.87138,0.00023765,0.00023765,0.00023765
55,1283.19,0.33488,0.21516,0.8372,0.94737,0.87223,0.93955,0.8741,0.39757,0.48979,0.86738,0.0002327,0.0002327,0.0002327
56,1306.48,0.3258,0.20996,0.85075,0.93955,0.87332,0.94433,0.87578,0.39561,0.46087,0.87433,0.00022775,0.00022775,0.00022775
57,1332.03,0.3047,0.20293,0.83812,0.94848,0.86612,0.94309,0.86502,0.41932,0.45174,0.87585,0.0002228,0.0002228,0.0002228
58,1360.6,0.30612,0.20312,0.84127,0.94438,0.88105,0.95718,0.86723,0.45555,0.4439,0.88889,0.00021785,0.00021785,0.00021785
59,1386.55,0.31192,0.20342,0.83032,0.93966,0.87502,0.95157,0.88158,0.40758,0.45403,0.87126,0.0002129,0.0002129,0.0002129
60,1410.9,0.29931,0.19641,0.82828,0.929,0.90084,0.9451,0.88861,0.38482,0.43461,0.85711,0.00020795,0.00020795,0.00020795
61,1435.48,0.30255,0.19449,0.82359,0.92427,0.91213,0.9512,0.87829,0.42496,0.42367,0.86936,0.000203,0.000203,0.000203
62,1460.02,0.2871,0.19723,0.81564,0.95352,0.89048,0.95627,0.89414,0.37202,0.41085,0.85711,0.00019805,0.00019805,0.00019805
63,1485.2,0.29233,0.19881,0.81976,0.89844,0.90747,0.95345,0.87482,0.44693,0.43303,0.88503,0.0001931,0.0001931,0.0001931
64,1509.72,0.29652,0.19722,0.82833,0.93771,0.87404,0.95218,0.87122,0.42658,0.45275,0.87563,0.00018815,0.00018815,0.00018815
65,1534.28,0.29733,0.19298,0.82597,0.92868,0.87853,0.9521,0.88054,0.41531,0.43732,0.87063,0.0001832,0.0001832,0.0001832
66,1558.95,0.29764,0.19036,0.83587,0.89634,0.90554,0.94033,0.87428,0.39398,0.45272,0.86752,0.00017825,0.00017825,0.00017825
67,1583.36,0.28119,0.18006,0.82153,0.96481,0.88403,0.95957,0.88726,0.42414,0.4192,0.88112,0.0001733,0.0001733,0.0001733
68,1607.85,0.26575,0.17361,0.82298,0.95002,0.89127,0.95993,0.89225,0.3979,0.40318,0.87218,0.00016835,0.00016835,0.00016835
69,1632.63,0.24753,0.17358,0.80418,0.95975,0.88148,0.94882,0.8851,0.36956,0.39901,0.86051,0.0001634,0.0001634,0.0001634
70,1657.06,0.24828,0.17284,0.8102,0.9204,0.91918,0.95143,0.89597,0.36551,0.39517,0.86061,0.00015845,0.00015845,0.00015845
71,1681.49,0.26895,0.18597,0.81529,0.92856,0.91563,0.95978,0.8516,0.52001,0.40124,0.93636,0.0001535,0.0001535,0.0001535
72,1705.7,0.26223,0.17568,0.8181,0.95302,0.89663,0.961,0.8962,0.4137,0.36574,0.87382,0.00014855,0.00014855,0.00014855
73,1730.45,0.26567,0.17816,0.79793,0.93876,0.88134,0.94783,0.87507,0.41456,0.41965,0.8718,0.0001436,0.0001436,0.0001436
