epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.4038,3.06014,17.0574,3.42631,0.18781,0.01562,0.00022,0.0001,2.2434,50.6186,2.07093,8.5e-05,8.5e-05,8.5e-05
2,14.3868,1.47499,4.69235,1.56824,0.2013,0.46082,0.27212,0.16438,1.25325,3.48275,1.23345,0.000173268,0.000173268,0.000173268
3,20.127,0.97795,2.88334,1.1386,0.63551,0.5174,0.52212,0.34332,1.20622,3.39678,1.25575,0.000259753,0.000259753,0.000259753
4,25.8373,0.87724,2.07873,1.07374,0.53947,0.73255,0.61999,0.46281,0.96,2.23422,1.06931,0.000344456,0.000344456,0.000344456
5,31.4594,0.78372,1.66332,1.00303,0.45436,0.66723,0.63052,0.52488,0.74927,2.24359,0.95841,0.000427378,0.000427378,0.000427378
6,37.0368,0.72937,1.32331,0.9966,0.54491,0.60971,0.61095,0.49921,0.79086,2.60465,0.98222,0.00047525,0.00047525,0.00047525
7,42.5663,0.72726,1.25455,0.99378,0.52211,0.65608,0.67926,0.55295,0.79381,1.71819,0.98553,0.0004703,0.0004703,0.0004703
8,48.2301,0.74117,1.08645,0.98768,0.61591,0.73969,0.77494,0.61963,0.86145,1.66818,1.02413,0.00046535,0.00046535,0.00046535
9,53.747,0.6642,0.87882,0.94221,0.76134,0.78498,0.86549,0.68681,0.81454,1.13422,1.0093,0.0004604,0.0004604,0.0004604
10,59.3371,0.70532,0.84222,0.96158,0.72061,0.76094,0.83971,0.60145,1.11719,1.19984,1.15172,0.00045545,0.00045545,0.00045545
11,64.8316,0.66734,0.82483,0.95063,0.81159,0.74985,0.86913,0.73003,0.67285,1.00936,0.92391,0.0004505,0.0004505,0.0004505
12,70.2692,0.59346,0.6836,0.90957,0.76306,0.73491,0.8437,0.69551,0.7414,1.10173,0.94453,0.00044555,0.00044555,0.00044555
13,75.7641,0.62028,0.65741,0.91762,0.7658,0.77357,0.84872,0.75356,0.55613,1.0372,0.87006,0.0004406,0.0004406,0.0004406
14,81.2893,0.58866,0.6624,0.90194,0.82112,0.83319,0.90157,0.75217,0.70508,0.85488,0.9277,0.00043565,0.00043565,0.00043565
15,86.8349,0.60143,0.60429,0.91649,0.83117,0.67824,0.84313,0.73173,0.60483,1.18542,0.89112,0.0004307,0.0004307,0.0004307
16,92.2563,0.58069,0.5278,0.90391,0.85668,0.83606,0.89307,0.75712,0.68121,0.86436,0.92172,0.00042575,0.00042575,0.00042575
17,97.6051,0.61003,0.5093,0.91067,0.88916,0.88189,0.93674,0.79053,0.68425,0.63538,0.91355,0.0004208,0.0004208,0.0004208
18,103.18,0.60047,0.49191,0.9177,0.86087,0.83887,0.93082,0.81638,0.54188,0.74996,0.86613,0.00041585,0.00041585,0.00041585
19,108.563,0.53686,0.47584,0.88289,0.84137,0.89466,0.93064,0.78866,0.68397,0.63069,0.92992,0.0004109,0.0004109,0.0004109
20,114.101,0.50041,0.42173,0.87613,0.7836,0.86302,0.91739,0.71022,0.92348,0.83237,1.01683,0.00040595,0.00040595,0.00040595
21,119.576,0.50328,0.45422,0.87489,0.88227,0.83283,0.92415,0.83698,0.47658,0.68939,0.85033,0.000401,0.000401,0.000401
22,125.148,0.53359,0.43624,0.89294,0.85677,0.84752,0.91606,0.79587,0.63388,0.72662,0.88904,0.00039605,0.00039605,0.00039605
23,130.957,0.49705,0.41136,0.86927,0.88345,0.89112,0.94995,0.86536,0.46059,0.55642,0.83995,0.0003911,0.0003911,0.0003911
24,136.647,0.47455,0.39022,0.85519,0.88316,0.88855,0.94896,0.82692,0.59043,0.54808,0.88988,0.00038615,0.00038615,0.00038615
25,142.114,0.45332,0.40349,0.84953,0.87402,0.84911,0.94416,0.86954,0.41918,0.55666,0.82627,0.0003812,0.0003812,0.0003812
