epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.87687,2.7847,14.3426,3.1443,0.79878,0.1,0.08368,0.04115,1.61518,9.9752,1.75693,0.00011,0.00011,0.00011
2,15.6144,1.20376,3.71666,1.3488,0.21126,0.62284,0.41605,0.2756,1.35718,3.92926,1.24871,0.000222773,0.000222773,0.000222773
3,23.0173,0.91977,2.34883,1.11053,0.50749,0.72364,0.67268,0.46885,1.11672,2.02098,1.09235,0.000333268,0.000333268,0.000333268
4,30.4766,0.83403,1.67282,1.06144,0.53295,0.79556,0.77716,0.58386,0.97889,1.86567,1.04215,0.000441487,0.000441487,0.000441487
5,37.9954,0.77546,1.4291,1.02209,0.70812,0.66122,0.75265,0.56309,1.01139,2.18142,1.05243,0.0004802,0.0004802,0.0004802
6,45.2428,0.72254,1.22868,0.99497,0.69941,0.67648,0.74817,0.61105,0.86132,1.64027,0.96357,0.00047525,0.00047525,0.00047525
7,52.4702,0.67242,0.97636,0.97727,0.87342,0.65487,0.85914,0.71505,0.73628,1.02807,0.93304,0.0004703,0.0004703,0.0004703
8,59.6727,0.61818,0.9533,0.93746,0.54377,0.73035,0.67443,0.57048,0.67601,1.79789,0.8901,0.00046535,0.00046535,0.00046535
9,66.9486,0.63897,0.81505,0.94454,0.82583,0.64173,0.84644,0.68387,0.76741,1.21593,0.9398,0.0004604,0.0004604,0.0004604
10,74.1663,0.60129,0.69667,0.92548,0.76015,0.74636,0.83816,0.70005,0.69707,1.37889,0.91014,0.00045545,0.00045545,0.00045545
11,81.4622,0.59176,0.59413,0.91448,0.75156,0.77023,0.83491,0.72491,0.5785,1.27845,0.85034,0.0004505,0.0004505,0.0004505
12,88.9648,0.61558,0.62183,0.93384,0.74952,0.80419,0.86349,0.74609,0.64093,0.88902,0.88171,0.00044555,0.00044555,0.00044555
13,96.1579,0.57594,0.56573,0.91618,0.85327,0.75989,0.85823,0.76903,0.52137,0.84831,0.83511,0.0004406,0.0004406,0.0004406
14,103.336,0.63189,0.57616,0.93963,0.74544,0.75932,0.83791,0.74592,0.49086,1.03631,0.83149,0.00043565,0.00043565,0.00043565
15,110.48,0.5845,0.56754,0.91544,0.77623,0.86775,0.87857,0.78562,0.50202,0.85909,0.83287,0.0004307,0.0004307,0.0004307
16,117.744,0.53657,0.47625,0.89288,0.78503,0.82745,0.88999,0.78973,0.55237,0.84431,0.84707,0.00042575,0.00042575,0.00042575
17,124.933,0.54204,0.43794,0.89706,0.76935,0.77622,0.87397,0.77217,0.53553,0.89288,0.83557,0.0004208,0.0004208,0.0004208
18,132.206,0.50371,0.43848,0.88912,0.763,0.83941,0.84876,0.74559,0.56764,0.83092,0.85013,0.00041585,0.00041585,0.00041585
19,139.29,0.49363,0.4449,0.8713,0.88039,0.8908,0.93271,0.79704,0.66423,0.63746,0.87907,0.0004109,0.0004109,0.0004109
20,146.538,0.53156,0.41769,0.90149,0.79941,0.74399,0.88083,0.79221,0.46207,1.00329,0.81929,0.00040595,0.00040595,0.00040595
21,153.941,0.50677,0.39326,0.88628,0.91326,0.79339,0.92474,0.84166,0.44115,0.6607,0.81513,0.000401,0.000401,0.000401
22,161.522,0.47579,0.37549,0.87402,0.77824,0.84015,0.89421,0.7969,0.54633,0.81057,0.84165,0.00039605,0.00039605,0.00039605
23,168.919,0.48462,0.37144,0.88005,0.82479,0.8405,0.89841,0.8167,0.49153,0.77705,0.82259,0.0003911,0.0003911,0.0003911
24,176.086,0.51396,0.38807,0.87673,0.76441,0.84501,0.8569,0.76994,0.49018,0.93469,0.82524,0.00038615,0.00038615,0.00038615
25,183.165,0.46576,0.36704,0.85649,0.93877,0.78735,0.92613,0.82097,0.55018,0.62664,0.83995,0.0003812,0.0003812,0.0003812
26,190.381,0.44641,0.36878,0.86305,0.81169,0.89126,0.88264,0.74977,0.68056,0.85054,0.87758,0.00037625,0.00037625,0.00037625
27,197.613,0.45032,0.36775,0.86749,0.77509,0.86078,0.88148,0.75229,0.67138,0.87061,0.88802,0.0003713,0.0003713,0.0003713
28,204.951,0.43464,0.32647,0.85166,0.82502,0.8088,0.88065,0.78244,0.52996,0.7526,0.82655,0.00036635,0.00036635,0.00036635
29,212.168,0.43738,0.30238,0.85809,0.92033,0.84137,0.92702,0.79732,0.63899,0.52388,0.86375,0.0003614,0.0003614,0.0003614
30,219.433,0.44483,0.29922,0.85961,0.80074,0.79722,0.87877,0.81062,0.40485,0.68805,0.80218,0.00035645,0.00035645,0.00035645
31,226.448,0.42434,0.29051,0.85837,0.81694,0.84296,0.89207,0.8116,0.44313,0.64969,0.81213,0.0003515,0.0003515,0.0003515
32,233.536,0.47872,0.29881,0.86372,0.8643,0.83909,0.88978,0.80584,0.46307,0.71426,0.81469,0.00034655,0.00034655,0.00034655
33,240.545,0.4565,0.30478,0.86182,0.8929,0.86063,0.91273,0.80915,0.55542,0.66124,0.82854,0.0003416,0.0003416,0.0003416
34,247.743,0.45006,0.29498,0.85395,0.89043,0.86059,0.94671,0.87032,0.44155,0.52139,0.8016,0.00033665,0.00033665,0.00033665
35,255.004,0.4066,0.28798,0.83705,0.82356,0.82469,0.86911,0.78326,0.49669,0.74532,0.83011,0.0003317,0.0003317,0.0003317
36,262.302,0.4096,0.28662,0.84738,0.84922,0.86049,0.90688,0.82764,0.42845,0.60855,0.81876,0.00032675,0.00032675,0.00032675
37,269.631,0.38591,0.27352,0.83984,0.85347,0.92546,0.9321,0.8372,0.47328,0.547,0.82348,0.0003218,0.0003218,0.0003218
38,276.88,0.40228,0.25547,0.84418,0.86626,0.90196,0.91085,0.80016,0.55182,0.49019,0.85961,0.00031685,0.00031685,0.00031685
39,284.044,0.42298,0.25832,0.84266,0.83806,0.87142,0.9046,0.83267,0.43401,0.63915,0.80576,0.0003119,0.0003119,0.0003119
40,291.472,0.39957,0.25293,0.84164,0.80944,0.94558,0.91698,0.80716,0.58433,0.58907,0.84732,0.00030695,0.00030695,0.00030695
41,298.758,0.40297,0.2456,0.83182,0.89839,0.84748,0.90464,0.81349,0.478,0.69393,0.81378,0.000302,0.000302,0.000302
42,306.058,0.37113,0.23456,0.82867,0.87813,0.88615,0.91356,0.82326,0.56631,0.68467,0.83525,0.00029705,0.00029705,0.00029705
43,313.247,0.38673,0.23483,0.83143,0.88408,0.83196,0.90986,0.83886,0.44799,0.63491,0.79729,0.0002921,0.0002921,0.0002921
44,320.549,0.37478,0.23835,0.82567,0.86786,0.8602,0.91396,0.83184,0.48268,0.62315,0.82113,0.00028715,0.00028715,0.00028715
45,327.766,0.36684,0.23451,0.82109,0.88193,0.90546,0.92018,0.8486,0.43938,0.58004,0.81165,0.0002822,0.0002822,0.0002822
46,334.934,0.37454,0.23247,0.83239,0.86696,0.8858,0.90342,0.80874,0.50509,0.65502,0.82703,0.00027725,0.00027725,0.00027725
47,342.109,0.39983,0.24148,0.84348,0.82455,0.86802,0.88399,0.82371,0.39349,0.80019,0.78774,0.0002723,0.0002723,0.0002723
48,349.329,0.38846,0.22372,0.83546,0.82054,0.87432,0.89945,0.83462,0.39562,0.6503,0.79271,0.00026735,0.00026735,0.00026735
49,356.472,0.3617,0.21564,0.82501,0.81945,0.86817,0.90944,0.80411,0.54397,0.71976,0.83379,0.0002624,0.0002624,0.0002624
50,363.644,0.34603,0.21004,0.82467,0.8618,0.85108,0.90767,0.81454,0.50845,0.64696,0.82711,0.00025745,0.00025745,0.00025745
51,370.807,0.356,0.21318,0.81858,0.89368,0.86547,0.91508,0.85823,0.37642,0.56931,0.78857,0.0002525,0.0002525,0.0002525
52,378.008,0.3388,0.20488,0.80347,0.86856,0.78748,0.87471,0.80876,0.4078,0.7571,0.80203,0.00024755,0.00024755,0.00024755
53,385.119,0.33829,0.20757,0.81928,0.82226,0.83389,0.85968,0.80106,0.42993,0.80559,0.80006,0.0002426,0.0002426,0.0002426
54,392.259,0.34596,0.21049,0.82749,0.88465,0.83884,0.90339,0.83875,0.38664,0.66573,0.79595,0.00023765,0.00023765,0.00023765
